id	chr	start	end	assigned gene	name	distance (bp)	Dl_Tl10b_DmWG_Max	Dl_Tl10b_DmWG_PositionMax	Twist_Tl10b_DmWG_Max	Twist_Tl10b_DmWG_PositionMax	Snail_Tl10b_DmWG_Max	Snail_Tl10b_DmWG_PositionMax	DTS high confidence	TS high confidence	known DV enhancer	confirmed DV enhancer	putative DV enhancer	references	sna site: 0% conservation	sna site: 20% conservation	sna site: 40% conservation	sna site: 60% conservation	sna site: 80% conservation	sna site: 100% conservation	twi site: 0% conservation	twi site: 20% conservation	twi site: 40% conservation	twi site: 60% conservation	twi site: 80% conservation	twi site: 100% conservation	dl site: 0% conservation	dl site: 20% conservation	dl site: 40% conservation	dl site: 60% conservation	dl site: 80% conservation	dl site: 100% conservation
2L_89833_90645	2L	89833	90645	CG11450	net	2451	2.046218487	90222	5.733086191	90222	3.836990596	90222	1	0	0	0	0		3	1	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0
2L_91177_92017	2L	91177	92017	CG11376	CG11376	2735	1.393907563	91847	3.822057461	91567	6.26645768	91567	0	1	0	0	0		0	0	0	0	0	0	3	2	1	1	0	0	1	0	0	0	0	0
2L_115859_116208	2L	115859	116208	CG13694	CG13694	TSS overlap	1.425420168	116108	3.575532901	116108	6.252873563	115969	0	1	0	0	0		3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
2L_272827_273371	2L	272827	273371	CG11604	CG11604	transcript overlap	1.323529412	273203	2.622798888	273203	5.234064786	273203	0	1	0	0	0		6	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
2L_282329_282869	2L	282329	282869	CG11601	CG11601	transcript overlap	2.976890756	282430	3.937905468	282430	5.239289446	282430	1	0	0	0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2L_377655_378257	2L	377655	378257	CG3935	al	TSS overlap	1.429621849	377763	3.311399444	378011	5.571577847	378011	0	1	0	0	0		4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2L_441744_442262	2L	441744	442262	CG4114	ex	transcript overlap	1.177521008	441854	2.574606117	441854	5.603970742	441854	0	1	0	0	0		2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
2L_714813_715650	2L	714813	715650	CG17941	ds	TSS overlap	1.914915966	714942	3.178869323	715222	5.293625914	715222	0	1	0	0	0		3	3	2	2	1	0	2	2	2	2	1	0	0	0	0	0	0	0
2L_849667_850820	2L	849667	850820	CG3365	drongo	transcript overlap	2.018907563	850410	9.229842447	850057	19.5015674	850057	1	0	0	0	0		1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
2L_867463_868521	2L	867463	868521	CG4276	aru	TSS overlap	1.620798319	867975	4.446709917	867975	7.785788924	867975	0	1	0	0	0		1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
